Cash Commodity,现货
Cash Conversion Cycle,资金周转周期
Cash Dividend,现金股息
Cash EPS,现金每股盈利
Cash Flow,现金流
Cash Flow After Taxes,税后现金流
Cash Flow Per Share,每股现金流
Cash Flow Return on Investment (CFROI),投资的现金流回报
Cash Investment,现金投资
Cash on Cash Return,现金的现金回报率
Cash Market,现货市场
Cash Price,现金价格
Cash Return on Gross Investment - (CROGI),总投资现金回报率
Catastrophe Bond,灾难债券
Central Bank,中央银行
Certificate,证书
Certificate Of Deposit (CD),存款证
Certified Public Accountant,注册公共会计师
Charge Off,出账、销账
Chartered Financial Analyst (CFA),注册财务分析师
Cherry Picking,选出最有利的（投资等）
Chief Executive Officer,首席行政官
Chief Financial Officer,首席财务官
Chief Operating Officer,首席营运官
Chinese Wall,长城
Churning,挤油交易、反复买卖
Class Action,同级诉讼
Classical Economics,古典经济学
Classified Shares,分级股票
Clawback,追回利益、市场回落
Clean Balance Sheet,低负债资产负债表
Clean Price,纯价格
Clearing,结算
Clearing Fee,结算费用
Clearing House,结算行
Close Position,平仓
Closed-End Investment,定额投资
Closing,收盘、交易结束
Closing Bell,收盘铃
Collateral,抵押品
Collective Fund,集体基金
Commercial,商业
Commercial Bank,商业银行
Commercial Mortgage Backed Security (CMBS),商业抵押作担保的证券　
Commercial Paper,商业票据
Commission,佣金
Commission House,佣金行
Commodity,商品
Commodity Futures Trading Commission (CFTC),商品期货交易委员会
Competitive Bid,竞标
Compound Annual Growth Rate (CAGR),复合年均增长率
Concession,销售报酬
Concession Agreement,特许协议
Conglomerate,综合企业
Consumer Confidence Index (CCI),消费者信心指数
Consumer Credit,消费信贷
Consumer Price Index (CPI),消费物价指数
Conversion,转换
Conversion Premium,转换溢价
Conversion Price,转换价格
Convertible Bond,可转换债券
Convertible Debenture,可转换公司信用债券
Convertible Preferred Stock,可转换优先股
Convertible Subordinated Note,可转换次级票据
Convertibles,可转换证券
Conveyance,地产让与证书
Contingency,偶然事故
Corporate Bond,企业债券
Corporate Cannibalism,企业自我竞争
Corporate Finance,企业融资
Corporate Governance,企业治理
Corporate Tax,公司税
Corporation,公司、企业
Cost Basis,成本基础
Cost of Capital,资本成本
Cost of Equity,股本成本
Cost of Funds,资金成本
Cost of Goods Sold (COGS),已售商品成本
Cost Synergy,成本协同效益
Counterparty Risk,交易对手风险
Country Risk,国家风险
Coupon,息票
Coupon Bond,有息票债券
Covenant,契约
Coverage Initiated,纳入研究范围
Credit,信贷、信用、贷项
Credit Default Swap,信贷违约掉期
Credit Derivative,信贷衍生工具
Credit Enhancement,加强信贷措施
Credit Card,信用卡
Credit Cliff,信用悬崖
Credit Crunch,紧缩信贷
Credit Risk,信贷风险
Credit Rating,信用评级
Credit Spread,信贷息差
Credit Union,信用合作社
Creditor,债权人
Critical Mass,关键规模
Cross,交叉交易
Cross Default,连带违约
Cross Hedge,交叉对冲
Cross Holding,交叉持股
Crossover Fund,交叉基金
Crown Corporation,国家企业
Crown Jewels,顶尖业务
Crystallization,结晶交易
Cum Dividend,附股息
Cumulative Dividend,累积股息
Cumulative Voting,累计投票
Curb,交易控制
Curb Trading,场外交易
Currency,货币
Currency Forward,货币远期
Currency Futures,货币期货
Currency Option,货币期权
Currency Overlay,货币管理外包
Currency Swap,货币掉期
Current Account,经常帐户
Current Assets,流动资产
Current Liabilities,流动负债
Current Maturity,现时年期
Current Price,现时价格
Current Ratio,流动比率
Current Yield,现时收益率
Cushion Bond,保收债券
CUSIP Number,美国证券库斯普号码
Custodial Account,保管帐户
Custodian,保管人
Cyclical Industry,周期性行业
Cyclical Stock,周期性股票
Cyclical Unemployment,周期性失业
English Terms,中文翻译
DJIA,道琼斯工业平均指数
DJTA,道琼斯交通平均指数
DJUA,道琼斯公用事业平均指数
Data Mining,数据探索
Days Payable Outstanding (DPO),应付账款天数
Days Sales Outstanding (DSO),应收账款天数
Debenture,公司债券
Debit,借项、借方
Debt,债务
Debt Equity Ratio,债务股本比
Debt Equity Swap,债换股交易
Debt Financing,债务融资
Debt Ratio,负债比率
Debt Restructuring,债务重组
Debt Security,债务证券
Debt Service,还本付息
Debt Service Coverage Ratio,债务偿付比率
Debtor,债务人
Debt Overhang,债务积压
Declaration Date,股息宣告日
Deep Discount Bond,高折扣债券
Default,违约，未能履行合约
Default Risk,违约风险
Defeasance,宣告（合约）无效、废止契约
Defensive Buy,防御性投资
Defensive Investment Strategy,防御性投资策略
Deferred Account,递延帐户
Deferred Annuity,递延年金
Deferred Income Tax,递延所得税
Deferred Interest Bond,递延利息债券
Deferred Revenue,递延收入
Defined Benefit Pension Plan,养老金固定收益计划
Defined Contribution Plan,养老金固定缴款计划
Deflation,通货萎缩
Deleverage,减债
Delinquent,拖欠债务
Delisting,摘牌、停止上市
Delivery,交割、交货
Delivery Date,交割日期
Delivery Instrument,交割文件
Delivery Month,交割月份
Delivery Price,交割价格
Delivery Versus Payment,付款交割
Demand,需求
Demand Deposit,活期存款
Demand Note,即期票据
Demerger,分拆
Demutualization,公司化、非共同化
Denomination,票面金额
Dependency Ratio,瞻养比率
Dependent,受扶养人士
Deposit,存款、按金
Depository Receipt,存托凭证
Depository Trust and Clearing Corporation (DTCC),存托及结算机构
Depository Trust Company (DTC),存托公司
Depreciated Cost,折余成本、已折旧成本
Depreciation,折旧、贬值
Depression,经济萧条
Deregulation,放宽管制
Derivative,衍生工具
Devaluation,贬值
Development Stage,发展阶段
Diluted Earnings Per Share,摊薄后每股盈利
Dilution,摊薄、减损
Dilutive Acquisition,减损盈利的收购项目
Discharge in Bankruptcy,已解除债务的破产人
Discount,折扣、贴现
Discount Bond,贴现债券、折扣债券
Discount Broker,折扣经纪人
Discount Note,贴现票据、折扣票据
Discount Rate,贴现率、折让率
Discount Window,贴现窗
Discounted Cash Flow (DCF),贴现现金流
Discretionary Account,委托帐户、全权管理帐户
Discretionary Income,可自由支配收入
Discretionary Order,全权委托指令
Diseconomies of Scale,规模不经济
Disinflation,反通货膨胀
Disinvestment,投资缩减
Disintermediation,非中介化
Disposable Income,可支配收入
Disposition,财产转让
Distressed Sale,廉价急售
Distressed Securities,证券减值
Distribution,派发、分配
Distribution in Kind,派发实物
Divergence,偏离
Diversification,多元化
Diversified Common Stock Fund,多元化普通股资金
Divestiture,分拆、出售资产
Dividend,股息
Dividend Discount Model (DDM),股息贴现模型
Dividend Payout Ratio,股息支付率
Dividend Policy,股息政策
Dividend Reinvestment Plan,股息再投资计划
Dividend Yield,股息收益率
Double Dipping,双重收费
Double Dip Recession,双谷经济衰退
Double Taxing,双重征税
Dow Jones Industrial Average (DJIA),道琼斯工业平均指数
Dow Jones Transportation Average (DJTA),道琼斯交通平均指数
Dow Jones Utility Average (DJUA),道琼斯公用事业平均指数
Dow Theory,道氏理论
Down Round,估值较低的一次融资
Down-and-In Option,股价下跌生效的期权
Down-and-Out Option,股价下跌失效的期权
Downgrade,下调评级
Downside,负面发展的可能性
Downside Risk,负面风险
Downsize,缩小规模
Downstream,下游
Downtick,低价交易
Downtick Volume,低价交易量
Drag Along Rights,带领权
Dragon Bond,龙债券
Dual Listing,两地上市
Due Diligence,尽职调查
Dummy Director,挂名董事、名义董事
Dummy Shareholder,名义股东
Dumping,[廉价]倾销
Du Pont Analysis,杜邦分析
Du Pont Identity,杜邦特性理论
Duopoly,双头垄断
Durables,耐用品
Duration,期限
Dutch Auction,荷兰拍卖
English Terms,中文翻译
EBIT,扣除利息及税项前盈利
EBITD,扣除利息、税项及折旧前盈利
EBITDA,扣除利息、税项、折旧及摊销前盈利
EBITDAR,扣除利息、税项、折旧、摊销及重组成本前盈利
EBT,税前盈利
EPS,每股盈利
EV,企业价值
EVA,经济增值
Earning Assets,盈利资产
Earnings,盈利
Earnings Estimate,盈利预测
Earnings Multiplier,盈利倍数
Earnings Per Share (EPS),每股盈利
Earnings Surprises,盈利不符预测
Earnings Yield,盈利收益
Earnout,基于财务表现额外对价条款
Ecommerce,电子商贸
Econometrics,计量经济学
Economic Value Added (EVA),经济增值
Economics,经济学
Economies of Scale,规模经济
Economies of Scope,范畴经济
Economy,经济体系
Effective Duration,有效期限
Effective Tax Rate,有效税率
Effective Yield,有效收益率
Efficiency Ratio,效益比例
Elasticity,弹性
Embedded Option,隐含期权
Embedded Value,隐含价值
Emerging Market Fund,新兴市场基金
Employee Contribution Plan,员工供款计划
Ending Inventory,期末库存
Endowment,捐赠
Enterprise Multiple,企业倍数
Enterprise Value,企业价值
Equilibrium,均衡
Equity,股票、股本
Equity Accounting,权益会计法
Equity-Linked Note,股票关联票据
Equity Carve-out,股票分拆上市
Equity Financing,股票融资
Equity Fund,股票资金
Equity Multiplier,股票倍数
Equity Risk Premium,股票风险溢价
Equity Unit Investment Trust,股票单位信托
Escrow Agreement,第三方保管协议
Escrow,第三方保管契约
Eurobank,欧洲银行
Eurobond,欧洲债券
Euroclear,欧洲债券结算系统
Eurodollar,欧洲美元
European Option,欧洲式期权
EV/EBITDA,企业价值/EBITDA（企业倍数）
Even Lot,整批［证券］
Ex-Dividend,除息、不带息
Ex-Rights,除权、不带新股认股权
Ex-Warrant,除证、不带认股权证
Exceptional Item,特殊项目
Excess Return,额外回报
Exclusion Ratio,除外责任比率
Exchange,交易所
Exchange Distribution,交易所分销
Exchange Privilege,转移特权
Exchange Rate,外汇率
Exchange Traded Fund,交易所指数基金
Exchangeable Debt,可交换债务
Exchangeable Security,可交换证券
Exercise,行使、执行
Exit Strategy,退出投资策略
Expected Return,预期回报率
Expense,开支
Expense Ratio,开支比率
Expiration Date,到期日
Export,出口
Extendable Bond,可延长债券
Extension Risk,延长风险
Extraordinary Item,非经常项目
Extrinsic Value,外在价值
English Terms,中文翻译
FOMC,公开市场委员会
FTSE,金融时报股票交易所指数
FX,外汇
Face Value,面值
Facility,信贷额度、资金设施
Fair Value,公平价值
Fairness Opinion,公平意见
Fed,联储局
Federal Funds,联邦基金
Federal Funds Rate,联邦基金利率
Federal Open Market Committee (FOMC),公开市场委员会
Federal Reserve Bank,联邦储备银行
Federal Reserve Board (FRB),联邦储备委员会
Federal Reserve System (the Fed),联邦储备体系
Fed Model,联邦储备模型
Fiduciary,受托人
Final Dividend,最终股息
Final Prospectus,公开说明书定稿
Finance,财务
Financial Accounting,财务会计
Financial Accounting Standards Board - (FASB),财务会计标准委员会
Financial Asset,金融资产
Financial Engineering,金融资产重整
Financial Intermediary,金融中介机构
Financial Performance,财务表现
Financial Planner,财务规划
Financial Supermarket,金融超级市场
Firm commitment,坚定承诺
FIFO,先进先出
Fiscal Agent,财务代理
Fiscal Policy,财政政策
Fiscal Year,财务年度
Fixed Annuity,固定年金
Fixed Asset,固定资产
Fixed-Charge Coverage Ratio,固定费用偿付比率
Fixed Cost,固定成本
Fixed Income Security,固定收入证券
Fixed Interest Rate (mortgage),固定利率（抵押）
Flight to Quality,安全投资转移
Flipper,迅速换手投资者
Float,公开流通股票
Floater,无记名票据
Floating Rate Note (FRN),浮息票据
Floor,最低额
Floor Trader,出市代表、场内交易商
Flotation,发行、上市
Flotation Cost,发行成本
Follow-on Offering,后续发行
Forbearance,暂缓行使（债权人权利）
Force Majeure,不可抗力
Forced Conversion,强制转换
Forecasting,预测
Foreign Bond,国外债券
Foreign Currency Effects,外币效应
Foreign Direct Investment (FDI),外国直接投资
Forex,外汇
Fortune 500,财富500
Forward Contract,远期合约
Forward Integration,前向整合
Forward Looking Earnings,预见性盈利
Forward Market,远期市场
Forward Price,远期价格
Forward Rate,远期利率
Forward Rate Agreement (FRA),远期利率协议
Forward Swap,远期掉期
Free Cash Flow,自由现金流
Free Cash Flow for the Firm (FCFF),企业自由现金流
Free Cash Flow per Share,每股自由现金流
Fully Valued,已充分反映实值
Fundamental Analysis,基本面分析
Fund Manager,基金经理
Funded Debt,长期债款、融资债务
Funds From Operations (FFO),来自营运现金流
Funds of Funds,基金中的基金
Fungibility,可互换
Fungibles,可互换物品
Future Rate Agreement (FRA),期货利率协议
Future Value,未来价值
Futures,期货
Futures Contract,期货合约
Futures Market,期货市场
English Terms,中文翻译
G-5,五大工业国
G-7,七大工业国
GAAP,通用会计制度
GDP,国内生产总值
GDR,全球存托凭证
GNP,全民生产总值
GPM,生产毛利率
Gain,收益
GDP Deflator,GDP平减数
GDP Gap,GDP差距
Gearing,本债比
Gearing Ratio,负债比率
General Agreement of Tariffs and Trade (GATT),关税及贸易总协定
General Depreciation System,一般折旧制度
General Ledger,总分类账
Generally Accepted Accounting Principles (GAAP),通用会计制度
General Obligation Bond,一般义务债券
Global Bond,全球债券
Global Depository Receipt (GDR),全球存托凭证
Global Investment Performance Standards (GIPS),全球投资表现标准
Global Fund,全球基金
Global Macro Strategy,全球宏观策略
Global Registered Share,全球注册股票
Globalization,全球一体化
Going Concern,持续经营
Going Concern Value,持续经营价值
Going Public,公开上市
Golden Handcuffs,金手铐
Golden Lifejacket,黄金救生衣
Golden Parachute,黄金降落伞
Golden Share,黄金股
Goodwill,商誉
Government Security,证券担保
Gray Knight,灰武士
Gray Market,灰市
Greenfield Investment,全新投资项目
Greenshoe Option,超额认股权
Greenspan Put,格林斯潘对策
Gross Income,毛收入
Gross Domestic Product (GDP),国内生产总值
Gross National Product (GNP),全民生产总值
Gross Processing Margin (GPM),生产毛利率
Gross Sales,总销售额
Gross Spread,总费率
Group of Five (G-5),五大工业国
Group of Seven (G-7),七大工业国
Growth At A Reasonable Price (GARP),以合理价格增长
Growth Fund,增长基金
Growth Rates,增长率
Growth Stock,增长股票
Guaranteed Stock,有担保股票
Guarantor,担保人
English Terms,中文翻译
HSI,恒生指数
H-Shares,H股
Haircut,估值折扣
Hang Seng Index (HSI),恒生指数
Hard Call Protection,强制买回保障
Hard Currency,硬货币
Hard Landing,硬着陆
Hard Loan,硬通货贷款
Hedge,对冲
Hedge Fund,对冲基金
Hedge Ratio,对冲比率
Herd Instinct,羊群心理
Heir,承继人
Hold,持有
Holding Company,控股公司
Holding Period,持有期
Holding Period Return/Yield,持有期回报/收益率
Horizontal Integration,横向整合
Horizontal Merger,横向合并
Horizontal Spread,水平价差
Hostile Takeover,恶意收购
House Call,经纪公司催缴通知
Household Expenses,家庭开支
Hot Issue,热门发行
Hot Money,热钱
Hurdle Rate,最低预期回报率
Hybrid Security,混合证券
Hyperinflation,恶性通货膨胀
English Terms,中文翻译
IAS,国际会计标准
IB (Investment Bank),投资银行
IBES,机构经纪人预测系统
IPO,首次公开上市
IR,投资者关系部
IRR,内部回报率
Idle Funds,游资、闲置资金
Idle Time,闲置时间
Illiquid,不能变现
Immunization,利率变动风险防范
Impaired Asset,受损的资产
Impaired Credit,受损的信贷
Impairment,（资本）损耗
Implicit Cost,隐含成本
Implied Volatility (IV),隐含波动性
Import,进口
In the Money,到价
Income,收入
Income Fund,收益基金
Income Statement,损益表
Income Stock,收益股票
Income Tax,所得税
Indemnity,赔偿
Indenture,契约
Independent Auditor,独立审计师
Index,指数
Index Fund,指数基金
Index Futures,指数期货
Index Option,指数期权
Indexing,指数化
Indicator,指标
Industry,行业
Inflection Point,转捩点
Infrastructure,基础设施
Initial Margin,首期保证金
Initial Public Offering (IPO),首次公开上市
Insider,内幕人士
Insider Information,内幕消息
Insider Trading,内幕交易
Installment Debt,分期偿还债务
Institutional Brokers' Estimate System (IBES),机构经纪人预测系统
Institutional Fund,机构基金
Institutional Investor,机构投资者
Insolvency,资不抵债
Intangible Asset,无形资产
Interest,利息、权益
Interest Rate,利率
Interest Rate Ceiling,最高利率
Interest Rate Parity,利率平价理论
Interest Rate Swap,利率掉期
Interim Dividend,中期股息
Internal Audit,内部审计
Internal Growth Rate,内部增长率
Internal Rate of Return (IRR),内部回报率
International Accounting Standards,国际会计标准
International Bond,国际债券
International Fund,国际基金
Intrinsic Value,内在价值
Inventory,库存、存货
Inventory Turnover,库存周转率
"""Invest, Then Investigate""",先投资，后调查
Investing,投资
Investment,投资
Investment Advisor,投资顾问
Investment Bank,投资银行
Investment Banker,投资银行家
Investment Climate,投资环境
Investment Company Act of 1940,1940年投资公司法
Investment Grade,投资等级
Investment Real Estate,投资性房地产
Investment Vehicle,投资媒体
Investor Relations,投资者关系部
Invisible Hand,无形之手
Invisible Supply,可见供应
IPO Lock-up,首次公开上市锁定期、禁售期
Issuer,发行人
English Terms,中文翻译
Joint Account,联合账户
Joint Bond,共同债券
Joint Owned Property,共同拥有财产
Joint Stock Company,股份公司
Joint Venture,合资企业、合资经营
Jointly and Severally,连带、共同
Junior Security,次级证券
Junk Bond,垃圾债券、高风险债券
Just In Time,及时生产
（空）,
English Terms,中文翻译
LBO,负债收购
LIBOR,伦敦银行同业拆放利率
LIFO,后进先出
LLC,有限责任公司
LTM,过去12个月
Labor Intensive,劳工密集
Laissez Faire,自由不干预理论
Large-Cap,高市值股票
Last In First Out (LIFO),后进先出
Last Twelve Months,过去12个月
Leakage,涉漏消息
Lease,租赁
Leaseback,租回已出售财产
Letter of Comfort,告慰函、安慰函
Letter of Credit,信用证
Letter of Indemnity,赔偿保证书
Letter of Intent,意向书
Leveraged Buyout (LBO),负债收购
Leveraged Lease,融资租赁
Leveraged Recapitalization,融资资本充实
Liability,负债
Life Expectancy,预计寿命
Life Insurance,人寿保险
Limited Liability Company (LLC),有限责任公司
Limited Partnership,有限合伙
Line of Credit,信贷额度、信贷限额
Liquidated Damages,预定的违约金
Liquidation,清算、清理
Liquidity,流通性、变现能力
Liquidity Preference Theory,流动性偏好理论
Liquidity Risk,流通风险
Liquid Market,高流通性市场
Listed Security,上市证券
Loan,贷款
Loan Loss Provision,贷款损失准备金
Loan Sharking,高利贷
Loan Syndication,贷款银团
Loan to Value Ratio,贷款与价值比率
Lock-up Agreement,锁定协议
London Interbank Offer Rate (LIBOR),伦敦银行同业拆放利率
Long Bond,长期债券
Long Term Assets,长期资产
Long Term Debt/Capitalization,长期债务/总资本比率
Long Term Debt,长期债务
Long Term Liabilities,长期负债
Lot,交易单位、批
Lump Sum Distribution,一次总付分配
English Terms,中文翻译
M1,货币供应量1
M2,货币供应量2
M3,货币供应量3
MTN,中期票据
Macroeconomics,宏观经济
Majority Shareholder,多数股东
Management Buyin (MBI),保留管理层的收购项目
Management Buyout (MBO),管理层收购项目
Management Fee,管理费用
Manager Universe (Benchmark),管理人基准比较
Margin Account,保证金、按金
Marginal Tax Rate,边际税率
Marginal Utility,边际效用
Mark to Market (MTM),以市值计价
Markdown,减价、调低标价
Market,市场
Market Arbitrage,市场套利
Market Cannibilization,互相争夺市场
Market Capitalization,总市值
Market Exposure,股市投资比率
Market Outperform,表现超越大市
Market Order,市价订单
Market Risk,市场风险
Market Risk Premium,市场风险溢价
Market Segmentation,市场细分
Market Sentiment,市场情绪
Market Value,市场价值
Market Value Added (MVA),市场增值
Marketable Securities,有价证券
Maturity,期限
Maturity Date,到期日期
Mean,平均值
Mechanical Investing,机械化投资
Medium Term,中期
Medium Term Note (MTN),中期票据
Mega Cap,超高市值股票
Member of Household,家庭成员
Merchant Bank,商人银行
Merger,合并
Merger Arbitrage,合并套利
Mezzanine Financing,夹层融资
Michigan Consumer Sentiment Index,密歇根消费者信心指数
Micro Cap Stock,微型市值股票
Microeconomics,微观经济
Mid Cap Stock,中等市值股票
Minority Interest,少数权益
Mirror Fund,镜子基金
Monetary Policy,货币政策
Monetize,套现、货币化
Money,金钱、货币
Money Flow,货币流量
Money Flow Index (MFI),货币流量指数
Money Laundering,洗黑钱
Money Market,货币市场
Money Market Account,货币市场账户
Money Market Fund,货币市场基金
Money Supply,货币供应
Money Zero Maturity (MZM),零期限货币
Monopoly,垄断、专利
Monopsony,买方垄断
Mortgage,房地产抵押
Mortgage Backed Securities,以房地产抵押作担保的证券
Mortgage Banker,房地产抵押银行家
Multinational Corporation,跨国企业
Multiple,倍数
Multiple Compression,倍数压缩
Multiplier Effect,乘数效应
Municipal Bond,市政债券
Municipal Bond Fund,市政债券基金
Municipal Convertible,市政可转换证券
Mutual Fund,共同基金
Mutual Fund Liquidity Ratio,共同基金流动率
English Terms,中文翻译
NASD,国家证券经纪商协会
Nasdaq,纳斯达克市场
Nasdaq-NM,纳斯达克全国市场
NAV,资产净值
NAVPS,每股资产净值
NI,净收入
NOI,营运净收入
NPL,不良贷款
NPV,净现值
NYSE,纽约股票交易所
Nasdaq National Market Securities,纳斯达克全国市场
Natural Unemployment,自然失业
NAV per Share,每股资产净值
Negative Carry,负盈利
Negative Covenant,负面契约
Negative Goodwill,负商誉
Negative Income Tax,负所得税
Negative Pledge Clause,负抵押条款
Negotiable,可磋商修改的
Negotiated Underwriting,经磋商协议的承销费用
Net Asset Value (NAV),资产净值
Net Asset Value per Share,每股资产净值
Net Debt,净债务
Net Domestic Product,国内生产净值
Net Exports,净出口值
Net Income (NI),净收入
Net Interest Margin,净息差
Net Investment Income,净投资收入
Net Liquid Assets,流通资产净值
Net Loss,净亏损、净损失
Net Operating Income (NOI),营运净收入
